,region,date,pred_dtp,pred_fire,pred_zkh
0,Большесосновский МО,2022-09-01,0.3092189845218324,0.3846731441260236,0.31841138120823315
1,Горнозаводский ГО,2022-09-01,0.1566821768446487,0.5685745184204366,0.31841138120823315
2,Добрянский ГО,2022-09-01,0.6782162924575431,0.7552457097910368,0.31841138120823315
3,Краснокамский ГО,2022-09-01,0.5566800403855215,0.8062300420159859,0.31841138120823315
4,Лысьвенский ГО,2022-09-01,0.5566800403855215,0.8062300420159859,0.31841138120823315
5,Очерский ГО,2022-09-01,0.15927732562192282,0.496592981889022,0.31841138120823315
6,Пермский ГО,2022-09-01,0.9742369491272875,0.9923382024277907,0.5486651609654444
7,Пермский МО,2022-09-01,0.7890644458854439,0.9407595622188175,0.3973198437753507
8,Соликамский ГО,2022-09-01,0.7513744047382586,0.8117385469812313,0.31841138120823315
9,Частинский МО,2022-09-01,0.1566821768446487,0.39343218268166036,0.31841138120823315
10,Косинский МО,2022-09-01,0.1566821768446487,0.3613511611315611,0.31841138120823315
11,Октябрьский ГО,2022-09-01,0.36830360546111773,0.6445633408280035,0.31841138120823315
12,Сивинский МО,2022-09-01,0.1566821768446487,0.3613511611315611,0.31841138120823315
13,Чердынский ГО,2022-09-01,0.1566821768446487,0.3854854737986267,0.31841138120823315
14,ГО город Березники,2022-09-01,0.8345434397296724,0.8117385469812313,0.31841138120823315
15,Кудымкарский МО,2022-09-01,0.5566800403855215,0.7552457097910368,0.31841138120823315
16,Чусовской ГО,2022-09-01,0.6191828047628104,0.8062300420159859,0.31841138120823315
17,Кунгурский МО,2022-09-01,0.7890644458854439,0.867810405694371,0.31841138120823315
18,Осинский ГО,2022-09-01,0.37518513928160113,0.5670386364986097,0.31841138120823315
19,Уинский МО,2022-09-01,0.1566821768446487,0.3613511611315611,0.31841138120823315
20,Карагайский МО,2022-09-01,0.37518513928160113,0.496592981889022,0.31841138120823315
21,Губахинский ГО,2022-09-01,0.3837378619548635,0.7097570514866315,0.31841138120823315
22,Суксунский ГО,2022-09-01,0.37518513928160113,0.39194003271832495,0.31841138120823315
23,Куединский МО,2022-09-01,0.37518513928160113,0.5702500234603701,0.31841138120823315
24,Верещагинский ГО,2022-09-01,0.16624895363566478,0.5685745184204366,0.3973198437753507
25,Александровский МО,2022-09-01,0.1566821768446487,0.6445633408280035,0.31841138120823315
26,Ильинский ГО,2022-09-01,0.1566821768446487,0.496592981889022,0.31841138120823315
27,Оханский ГО,2022-09-01,0.1566821768446487,0.36448916654650587,0.31841138120823315
28,Чернушинский ГО,2022-09-01,0.5939745696672311,0.6501022490740267,0.31841138120823315
29,Юсьвинский МО,2022-09-01,0.1566821768446487,0.4924831251512957,0.31841138120823315
30,Ординский МО,2022-09-01,0.3572841771812715,0.36597914743538057,0.31841138120823315
31,Кишертский МО,2022-09-01,0.1566821768446487,0.393799537909051,0.31841138120823315
32,Чайковский ГО,2022-09-01,0.6698448975973474,0.8062300420159859,0.31841138120823315
33,Юрлинский МО,2022-09-01,0.1566821768446487,0.3613511611315611,0.31841138120823315
34,Бардымский МО,2022-09-01,0.36082841318388154,0.496592981889022,0.31841138120823315
35,Березовский МО,2022-09-01,0.1566821768446487,0.496592981889022,0.31841138120823315
36,Кочевский МО,2022-09-01,0.1566821768446487,0.34693771962349135,0.31841138120823315
37,Красновишерский ГО,2022-09-01,0.1566821768446487,0.496592981889022,0.31841138120823315
38,ГО город Кизел,2022-09-01,0.1566821768446487,0.49861752073967625,0.31841138120823315
39,Еловский МО,2022-09-01,0.1566821768446487,0.3613511611315611,0.31841138120823315
40,Гайнский МО,2022-09-01,0.1566821768446487,0.40645330619911113,0.31841138120823315
41,Большесосновский МО,2022-09-02,0.3147329326972667,0.3995142650359356,0.31626385425055087
42,Горнозаводский ГО,2022-09-02,0.17207537925855593,0.5790029640049752,0.31626385425055087
43,Добрянский ГО,2022-09-02,0.6620247789960549,0.754471518243925,0.31626385425055087
44,Краснокамский ГО,2022-09-02,0.5606487104228253,0.8110765230858307,0.31626385425055087
45,Лысьвенский ГО,2022-09-02,0.5606487104228253,0.8110765230858307,0.31626385425055087
46,Очерский ГО,2022-09-02,0.17487261866543763,0.5088067977063112,0.31626385425055087
47,Пермский ГО,2022-09-02,0.9757281986754893,0.9926216023880323,0.5493257619051558
48,Пермский МО,2022-09-02,0.7753833666427067,0.9433362340736458,0.3949485022940492
49,Соликамский ГО,2022-09-02,0.7357494027720884,0.815997147869501,0.31626385425055087
50,Частинский МО,2022-09-02,0.17207537925855593,0.4001162310914473,0.31626385425055087
51,Косинский МО,2022-09-02,0.17207537925855593,0.3842436516747666,0.31626385425055087
52,Октябрьский ГО,2022-09-02,0.37164393187091943,0.6373535836489896,0.31626385425055087
53,Сивинский МО,2022-09-02,0.17207537925855593,0.3842436516747666,0.31626385425055087
54,Чердынский ГО,2022-09-02,0.17207537925855593,0.40044829751488453,0.31626385425055087
55,ГО город Березники,2022-09-02,0.7867911174184109,0.815997147869501,0.31626385425055087
56,Кудымкарский МО,2022-09-02,0.5606487104228253,0.754471518243925,0.31626385425055087
57,Чусовской ГО,2022-09-02,0.6253524634912276,0.8110765230858307,0.31626385425055087
58,Кунгурский МО,2022-09-02,0.7753833666427067,0.8710021890783366,0.31626385425055087
59,Осинский ГО,2022-09-02,0.37657004049260084,0.5774766185864935,0.31626385425055087
60,Уинский МО,2022-09-02,0.17207537925855593,0.3842436516747666,0.31626385425055087
61,Карагайский МО,2022-09-02,0.37657004049260084,0.5088067977063112,0.31626385425055087
62,Губахинский ГО,2022-09-02,0.43545323166591343,0.7081265429485465,0.31626385425055087
63,Суксунский ГО,2022-09-02,0.37657004049260084,0.4070825647351729,0.31626385425055087
64,Куединский МО,2022-09-02,0.37657004049260084,0.5806678382869177,0.31626385425055087
65,Верещагинский ГО,2022-09-02,0.18237877884409648,0.5790029640049752,0.3949485022940492
66,Александровский МО,2022-09-02,0.17207537925855593,0.6373535836489896,0.31626385425055087
67,Ильинский ГО,2022-09-02,0.17207537925855593,0.5088067977063112,0.31626385425055087
68,Оханский ГО,2022-09-02,0.17207537925855593,0.38745984790688576,0.31626385425055087
69,Чернушинский ГО,2022-09-02,0.5997754172882642,0.6429426064435223,0.31626385425055087
70,Юсьвинский МО,2022-09-02,0.17207537925855593,0.504697200033833,0.31626385425055087
71,Ординский МО,2022-09-02,0.3605816105536056,0.3887826742976035,0.31626385425055087
72,Кишертский МО,2022-09-02,0.17207537925855593,0.40069108837280787,0.31626385425055087
73,Чайковский ГО,2022-09-02,0.653447391865827,0.8110765230858307,0.31626385425055087
74,Юрлинский МО,2022-09-02,0.17207537925855593,0.3842436516747666,0.31626385425055087
75,Бардымский МО,2022-09-02,0.3641400243700915,0.5088067977063112,0.31626385425055087
76,Березовский МО,2022-09-02,0.17207537925855593,0.5088067977063112,0.31626385425055087
77,Кочевский МО,2022-09-02,0.17207537925855593,0.369445308401241,0.31626385425055087
78,Красновишерский ГО,2022-09-02,0.17207537925855593,0.5088067977063112,0.31626385425055087
79,ГО город Кизел,2022-09-02,0.17207537925855593,0.5108306022607763,0.31626385425055087
80,Еловский МО,2022-09-02,0.17207537925855593,0.3842436516747666,0.31626385425055087
81,Гайнский МО,2022-09-02,0.17207537925855593,0.41320787347330495,0.31626385425055087
82,Большесосновский МО,2022-09-03,0.3314055888490444,0.4084544670660092,0.31626385425055087
83,Горнозаводский ГО,2022-09-03,0.1866311740462828,0.5906523269791591,0.31626385425055087
84,Добрянский ГО,2022-09-03,0.6721714427127979,0.7794842826858263,0.31626385425055087
85,Краснокамский ГО,2022-09-03,0.5675716896328468,0.8379348475097615,0.31626385425055087
86,Лысьвенский ГО,2022-09-03,0.5675716896328468,0.8379348475097615,0.31626385425055087
87,Очерский ГО,2022-09-03,0.194224124734931,0.5260379693211333,0.31626385425055087
88,Пермский ГО,2022-09-03,0.9772819935024747,0.9952624052428568,0.5493257619051558
89,Пермский МО,2022-09-03,0.7890376458646123,0.9573433372924063,0.3949485022940492
90,Соликамский ГО,2022-09-03,0.7482821303711362,0.8442618037162533,0.31626385425055087
91,Частинский МО,2022-09-03,0.1866311740462828,0.41124811637652997,0.31626385425055087
92,Косинский МО,2022-09-03,0.1866311740462828,0.38986168342091326,0.31626385425055087
93,Октябрьский ГО,2022-09-03,0.38339106858596905,0.6557675401084087,0.31626385425055087
94,Сивинский МО,2022-09-03,0.1866311740462828,0.38986168342091326,0.31626385425055087
95,Чердынский ГО,2022-09-03,0.1866311740462828,0.4130579352540294,0.31626385425055087
96,ГО город Березники,2022-09-03,0.7975929521644515,0.8442618037162533,0.31626385425055087
97,Кудымкарский МО,2022-09-03,0.5675716896328468,0.7794842826858263,0.31626385425055087
98,Чусовской ГО,2022-09-03,0.6290698045640822,0.8379348475097615,0.31626385425055087
99,Кунгурский МО,2022-09-03,0.7890376458646123,0.8940338047987209,0.31626385425055087
100,Осинский ГО,2022-09-03,0.3883766443615487,0.5891382466114291,0.31626385425055087
101,Уинский МО,2022-09-03,0.1866311740462828,0.38986168342091326,0.31626385425055087
102,Карагайский МО,2022-09-03,0.3883766443615487,0.5260379693211333,0.31626385425055087
103,Губахинский ГО,2022-09-03,0.44783612610145107,0.7288534138628986,0.31626385425055087
104,Суксунский ГО,2022-09-03,0.3883766443615487,0.4174924622253786,0.31626385425055087
105,Куединский МО,2022-09-03,0.3883766443615487,0.5906523269791591,0.31626385425055087
106,Верещагинский ГО,2022-09-03,0.1975981218679584,0.5906523269791591,0.3949485022940492
107,Александровский МО,2022-09-03,0.1866311740462828,0.6557675401084087,0.31626385425055087
108,Ильинский ГО,2022-09-03,0.1866311740462828,0.5260379693211333,0.31626385425055087
109,Оханский ГО,2022-09-03,0.1866311740462828,0.397382964554119,0.31626385425055087
110,Чернушинский ГО,2022-09-03,0.6050354723954076,0.6554341960469966,0.31626385425055087
111,Юсьвинский МО,2022-09-03,0.1866311740462828,0.521151429790687,0.31626385425055087
112,Ординский МО,2022-09-03,0.3786620553592854,0.400224664948559,0.31626385425055087
113,Кишертский МО,2022-09-03,0.1866311740462828,0.410392847952165,0.31626385425055087
114,Чайковский ГО,2022-09-03,0.6617966572265231,0.8379348475097615,0.31626385425055087
115,Юрлинский МО,2022-09-03,0.1866311740462828,0.38986168342091326,0.31626385425055087
116,Бардымский МО,2022-09-03,0.3822922193808816,0.5260379693211333,0.31626385425055087
117,Березовский МО,2022-09-03,0.1866311740462828,0.5260379693211333,0.31626385425055087
118,Кочевский МО,2022-09-03,0.1866311740462828,0.3736128215335568,0.31626385425055087
119,Красновишерский ГО,2022-09-03,0.1866311740462828,0.5260379693211333,0.31626385425055087
120,ГО город Кизел,2022-09-03,0.1866311740462828,0.5255089744328114,0.31626385425055087
121,Еловский МО,2022-09-03,0.1866311740462828,0.38986168342091326,0.31626385425055087
122,Гайнский МО,2022-09-03,0.1866311740462828,0.4247314381033429,0.31626385425055087
123,Большесосновский МО,2022-09-04,0.3130871612718347,0.41455878887865694,0.31626385425055087
124,Горнозаводский ГО,2022-09-04,0.15734510761168838,0.5887083529449344,0.31626385425055087
125,Добрянский ГО,2022-09-04,0.6721875504897098,0.7822721257049511,0.31626385425055087
126,Краснокамский ГО,2022-09-04,0.5645318628186716,0.8391365265557749,0.31626385425055087
127,Лысьвенский ГО,2022-09-04,0.5645318628186716,0.8391365265557749,0.31626385425055087
128,Очерский ГО,2022-09-04,0.16398679623614582,0.5228516944620178,0.31626385425055087
129,Пермский ГО,2022-09-04,0.9764054706968339,0.9953179156314396,0.5493257619051558
130,Пермский МО,2022-09-04,0.7886099533945461,0.9582507758385166,0.3949485022940492
131,Соликамский ГО,2022-09-04,0.7462071685639892,0.8454252238144552,0.31626385425055087
132,Частинский МО,2022-09-04,0.15734510761168838,0.410940011779852,0.31626385425055087
133,Косинский МО,2022-09-04,0.15734510761168838,0.39934797957880436,0.31626385425055087
134,Октябрьский ГО,2022-09-04,0.36609413851078204,0.6565170429327718,0.31626385425055087
135,Сивинский МО,2022-09-04,0.15734510761168838,0.39934797957880436,0.31626385425055087
136,Чердынский ГО,2022-09-04,0.15734510761168838,0.4162693606807135,0.31626385425055087
137,ГО город Березники,2022-09-04,0.8342917096698288,0.8454252238144552,0.31626385425055087
138,Кудымкарский МО,2022-09-04,0.5645318628186716,0.7822721257049511,0.31626385425055087
139,Чусовской ГО,2022-09-04,0.6249750265671996,0.8391365265557749,0.31626385425055087
140,Кунгурский МО,2022-09-04,0.7886099533945461,0.8954846504741454,0.31626385425055087
141,Осинский ГО,2022-09-04,0.3709901171397022,0.5871921075895621,0.31626385425055087
142,Уинский МО,2022-09-04,0.15734510761168838,0.39934797957880436,0.31626385425055087
143,Карагайский МО,2022-09-04,0.3709901171397022,0.5228516944620178,0.31626385425055087
144,Губахинский ГО,2022-09-04,0.44303477189579,0.7306506095997177,0.31626385425055087
145,Суксунский ГО,2022-09-04,0.3709901171397022,0.4281471243795888,0.31626385425055087
146,Куединский МО,2022-09-04,0.3709901171397022,0.5887083529449344,0.31626385425055087
147,Верещагинский ГО,2022-09-04,0.16694434896172722,0.5887083529449344,0.3949485022940492
148,Александровский МО,2022-09-04,0.15734510761168838,0.6565170429327718,0.31626385425055087
149,Ильинский ГО,2022-09-04,0.15734510761168838,0.5228516944620178,0.31626385425055087
150,Оханский ГО,2022-09-04,0.15734510761168838,0.40693021309236455,0.31626385425055087
151,Чернушинский ГО,2022-09-04,0.5948962897651612,0.6561840441354856,0.31626385425055087
152,Юсьвинский МО,2022-09-04,0.15734510761168838,0.52457030843383,0.31626385425055087
153,Ординский МО,2022-09-04,0.36145341146371285,0.4097937591545337,0.31626385425055087
154,Кишертский МО,2022-09-04,0.15734510761168838,0.41650574175168137,0.31626385425055087
155,Чайковский ГО,2022-09-04,0.651325152770345,0.8391365265557749,0.31626385425055087
156,Юрлинский МО,2022-09-04,0.15734510761168838,0.39934797957880436,0.31626385425055087
157,Бардымский МО,2022-09-04,0.36501551738250065,0.5228516944620178,0.31626385425055087
158,Березовский МО,2022-09-04,0.15734510761168838,0.5228516944620178,0.31626385425055087
159,Кочевский МО,2022-09-04,0.15734510761168838,0.3786008553185342,0.31626385425055087
160,Красновишерский ГО,2022-09-04,0.15734510761168838,0.5228516944620178,0.31626385425055087
161,ГО город Кизел,2022-09-04,0.15734510761168838,0.48899148607346105,0.31626385425055087
162,Еловский МО,2022-09-04,0.15734510761168838,0.39934797957880436,0.31626385425055087
163,Гайнский МО,2022-09-04,0.15734510761168838,0.43543274523301007,0.31626385425055087
164,Большесосновский МО,2022-09-05,0.34234026514536176,0.3983716030033765,0.32474992488095217
165,Горнозаводский ГО,2022-09-05,0.1787348448760686,0.6366521762013432,0.32474992488095217
166,Добрянский ГО,2022-09-05,0.6603457300458434,0.8201276052135716,0.32474992488095217
167,Краснокамский ГО,2022-09-05,0.5696882096570005,0.8621191933231005,0.32474992488095217
168,Лысьвенский ГО,2022-09-05,0.5696882096570005,0.8621191933231005,0.32474992488095217
169,Очерский ГО,2022-09-05,0.18474632637006969,0.524420483845332,0.32474992488095217
170,Пермский ГО,2022-09-05,0.9711099857342763,0.9949279391583077,0.5481063185932276
171,Пермский МО,2022-09-05,0.7652470562180705,0.9622987616314799,0.39958391673858284
172,Соликамский ГО,2022-09-05,0.7209589894629926,0.8676521076065399,0.32474992488095217
173,Частинский МО,2022-09-05,0.1787348448760686,0.4082804966498747,0.32474992488095217
174,Косинский МО,2022-09-05,0.1787348448760686,0.32135718855203754,0.32474992488095217
175,Октябрьский ГО,2022-09-05,0.4055433549892874,0.7041514699884105,0.32474992488095217
176,Сивинский МО,2022-09-05,0.1787348448760686,0.32135718855203754,0.32474992488095217
177,Чердынский ГО,2022-09-05,0.1787348448760686,0.3442038059399033,0.32474992488095217
178,ГО город Березники,2022-09-05,0.8131044302068741,0.8676521076065399,0.32474992488095217
179,Кудымкарский МО,2022-09-05,0.5696882096570005,0.8201276052135716,0.32474992488095217
180,Чусовской ГО,2022-09-05,0.631328549092445,0.8621191933231005,0.32474992488095217
181,Кунгурский МО,2022-09-05,0.7652470562180705,0.909370374897655,0.32474992488095217
182,Осинский ГО,2022-09-05,0.4059173159664848,0.6352031554844751,0.32474992488095217
183,Уинский МО,2022-09-05,0.1787348448760686,0.32135718855203754,0.32474992488095217
184,Карагайский МО,2022-09-05,0.4059173159664848,0.524420483845332,0.32474992488095217
185,Губахинский ГО,2022-09-05,0.4101158140287888,0.7834941569078828,0.32474992488095217
186,Суксунский ГО,2022-09-05,0.4059173159664848,0.3443502523048883,0.32474992488095217
187,Куединский МО,2022-09-05,0.4059173159664848,0.6366521762013432,0.32474992488095217
188,Верещагинский ГО,2022-09-05,0.1893458009549719,0.6366521762013432,0.39958391673858284
189,Александровский МО,2022-09-05,0.1787348448760686,0.7041514699884105,0.32474992488095217
190,Ильинский ГО,2022-09-05,0.1787348448760686,0.524420483845332,0.32474992488095217
191,Оханский ГО,2022-09-05,0.1787348448760686,0.3243242573920795,0.32474992488095217
192,Чернушинский ГО,2022-09-05,0.6058377273260848,0.7088758424274382,0.32474992488095217
193,Юсьвинский МО,2022-09-05,0.1787348448760686,0.5178412046426172,0.32474992488095217
194,Ординский МО,2022-09-05,0.4014906945246486,0.32684708670490636,0.32474992488095217
195,Кишертский МО,2022-09-05,0.1787348448760686,0.4045701653622736,0.32474992488095217
196,Чайковский ГО,2022-09-05,0.6529107689443316,0.8621191933231005,0.32474992488095217
197,Юрлинский МО,2022-09-05,0.1787348448760686,0.32135718855203754,0.32474992488095217
198,Бардымский МО,2022-09-05,0.40298779346104235,0.524420483845332,0.32474992488095217
199,Березовский МО,2022-09-05,0.1787348448760686,0.524420483845332,0.32474992488095217
200,Кочевский МО,2022-09-05,0.1787348448760686,0.3462047881628299,0.32474992488095217
201,Красновишерский ГО,2022-09-05,0.1787348448760686,0.524420483845332,0.32474992488095217
202,ГО город Кизел,2022-09-05,0.1787348448760686,0.4803673370022285,0.32474992488095217
